gauge	HUC2	Dry	PctFlow	m_90-10	err_1_abs	err_1b	break	err_2_abs	err_2b	m_1	m_2	err_ratio_abs	LAT	LONG
2149000	3	0	100	2.0699474100862414	0.07102312075553584	0.007227080216051685	16.0	0.05456052618633859	-0.04000379025147125	3.624630229642204	1.9438920463384606	1.3017308614835046	35.42345	-82.1115
2152100	3	0	100	2.2487246465019277	0.08078729923666243	0.007329858541039926	19.0	0.06085303513359783	-0.046906041034275106	3.4389013316268953	2.0978571793734107	1.3275804412927075	35.49306	-81.68222
2177000	3	0	100	2.2310337905655127	0.055351802086172415	-0.024923968118556662	81.0	0.03228129922206721	0.018414186230525976	2.110480473890248	3.182065511003714	1.7146708286243453	34.81398	-83.30599000000002
2178400	3	0	100	2.1349869827032455	0.04356698354442891	0.003159508121211377	78.0	0.034933027394950515	0.02806240008414416	2.0626587303109036	2.5448470795931812	1.2471573978362496	34.890370000000004	-83.53044
2193340	3	1	98.20523220442101	4.463303301932068	0.21079335992068543	-0.1709300675432354	73.65392415331576	0.08744925804897058	0.03816451774988702	3.8163664320194317	7.266696404886826	2.4104648183823763	33.68263	-82.85792
2196000	3	0	100	5.446472199844008	0.150139076188573	-0.0628972458314365	80.0	0.08690251628499827	0.05942699905036443	5.10134308035607	7.862376036259574	1.7276723690737488	33.7293	-82.18179
2198100	3	0	100	3.436090244528082	0.43850857338626753	0.43850857338626753	35.0	0.06137140562148098	0.058551433486479905	6.437751649736402	2.0716986967061177	7.145160990622357	32.93766	-81.81539000000002
2202600	3	1	99.95722108145107	8.05650460309281	0.20501182750847297	-0.19086059403985361	47.979466119096514	0.07836465408880983	0.06224605553338427	6.740453102843073	9.247217865223526	2.616126235638522	32.16798	-81.48817
2212600	3	1	98.66333843304615	5.64090915398267	0.3235252964835754	-0.2955829569859144	75.97077059344554	0.08779792771449517	0.007323185988273771	4.735917504730403	10.305096884744351	3.6848853373353867	33.09985	-83.72351
2215100	3	1	99.71608193064287	4.784475021138667	0.11053653908588748	-0.018164305645494257	81.76718718312716	0.08137005326656246	0.05376366703274174	4.586610823874963	6.565252796512003	1.3584425061610528	32.23944	-83.50166999999998
2216180	3	1	66.94338956107039	11.664916528454322	0.7610723294894473	-0.7610723294894473	40.835467632252936	0.1744477995692947	-0.14584590141290857	8.10594750028589	17.923793095233286	4.362751100148625	31.99139000000001	-82.92194
2221525	3	0	100	3.73839966466306	0.17963109745241926	-0.13855614550530598	80.0	0.07311984438431583	0.023118393276283695	3.2822465016721467	6.931471805599454	2.4566668455731837	33.25236	-83.48128
2231000	3	0	100	4.585095408105223	0.15017124814024616	0.14988498333622347	43.99999999999999	0.0375844525186331	0.031997879299623354	5.269880791847237	4.078949689687213	3.9955683288401325	30.35885	-82.0815
2231342	3	1	89.9527088691612	6.895074634639366	0.35394924548045953	-0.33411175732080167	71.96216709532897	0.09547013779077847	0.004117359997083468	5.834195749182133	14.321226832840004	3.707434111555747	27.56865	-80.79616999999998
2235200	3	0	100	3.8638030666978946	0.09738919753687453	0.0371824965582746	28.0	0.06650707960280056	-0.03586363141448478	4.665281415287893	3.631115804204024	1.4643433168094415	28.87453	-81.48938000000003
2245500	3	0	100	3.367345185081062	0.15632157613995112	0.13863513952920287	25.0	0.04640813470523975	-0.013275055451721413	5.36749608566323	2.9057719003313305	3.3684089466819596	29.97941	-81.85204
2246000	3	0	100	3.6489902455395713	0.14536136248856557	0.08898184459105318	23.0	0.0659253504465735	-0.039354361296385525	5.5987133734448875	3.270685758035554	2.204938790676096	30.1133	-81.90649
2296500	3	0	100	6.043060907337271	0.1371362116433161	0.11644818117465902	30.0	0.03828138475864095	-0.01044531206253974	7.29613415305461	5.625369825431491	3.582321081328215	27.37504	-81.79647
2297155	3	1	97.19281737630362	6.846744592659414	0.20137957340686752	-0.19428024551389855	78.72618207480593	0.0899779774257873	0.027496849436928213	6.212011311802402	11.854084919420288	2.2380984677385403	27.48726	-82.02342
2297310	3	1	99.69401723166116	5.776686819596289	0.1324535644735768	0.13239284279729452	26.917384652548517	0.019015957203406354	0.010530316566973716	7.196787903646972	5.39348493977309	6.9653903328016655	27.19949	-81.98841999999998
2298123	3	0	100	5.104602320597575	0.17945565161563962	0.1702205624295919	27.0	0.048185471033340734	-0.012828200470769012	7.231198242528242	4.530758976584539	3.724268908598398	27.052	-81.78453
2298608	3	1	99.37998228520814	5.444689625268278	0.11429286090203265	0.06847277306454312	29.813994685562445	0.060557848523903376	-0.04439704434033839	6.566232838744079	5.070841887443011	1.887333577528254	27.34366	-82.15675999999998
2299950	3	0	100	4.430887079105447	0.35724871224366384	0.3556063771339743	34.0	0.06482813139241907	0.045556930865687836	6.982335647354887	3.3374091212842587	5.510705068470323	27.47365	-82.2112
